datetime,conditions,description,icon
18/06/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
19/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/06/2023,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain
23/06/2023,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
24/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
25/06/2023,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain
26/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
27/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
28/06/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
29/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/06/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
03/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
05/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
10/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
15/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
16/07/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
17/07/2023,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
18/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
19/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
20/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
22/07/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
23/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
26/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
28/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
29/07/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
30/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/07/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/08/2023,Overcast,Cloudy skies throughout the day.,cloudy
05/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/08/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
08/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
09/08/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
11/08/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
12/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
13/08/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
